"fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","quality","type"
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5,"white"
6.5,0.315,0.2,6.6,0.041,9,126,0.99494,2.94,0.51,8.8,5,"white"
6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,6,"white"
6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,7,"white"
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6,"white"
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6,"white"
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5,"red"
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,"red"
7.5,0.18,0.39,1.9,0.054,23,91,0.9941,3.27,0.45,10.3,6,"white"
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,"white"
7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,"white"
6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7,"white"
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,"white"
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6,"white"
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6,"white"
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5,"white"
7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5,"red"
6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4,"white"
7.2,0.34,0.44,4.2,0.047,51,144,0.991,3.01,0.76,12.3,6,"white"
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,"white"
9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7,"red"
7.3,0.22,0.31,2.3,0.018,45,80,0.98936,3.06,0.34,12.9,7,"white"
8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,5,"red"
5.8,0.18,0.37,1.2,0.036,19,74,0.98853,3.09,0.49,12.7,7,"white"
9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,6,"red"
6.2,0.27,0.26,12.1,0.046,43,127,0.9951,3.16,0.37,10.8,6,"white"
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6,"white"
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,6,"red"
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6,"white"
7.2,0.21,0.31,10.5,0.035,36,122,0.99478,3.12,0.4,10.6,6,"white"
6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7,"white"
6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5,"white"
8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7,"white"
6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,5,"white"
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,"red"
7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5,"red"
9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,5,"red"
6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,5,"white"
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6,"white"
6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,6,"red"
7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5,"white"
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6,"white"
7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6,"white"
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,"white"
5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,7,"white"
7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6,"white"
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,"white"
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5,"red"
4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6,"white"
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8,"white"
10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,6,"red"
6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11,7,"white"
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7,"red"
5.1,0.33,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11,7,"white"
7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8,"white"
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5,"red"
6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8,"white"
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7,"red"
6.5,0.23,0.33,13.8,0.042,25,139,0.99695,3.35,0.56,10.4,6,"white"
5.9,0.34,0.3,3.8,0.035,57,135,0.99016,3.09,0.34,12,6,"white"
5.7,0.25,0.27,10.8,0.05,58,116,0.99592,3.1,0.5,9.8,6,"white"
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,"red"
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,"red"
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6,"red"
7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7,7,"white"
6.4,0.24,0.32,14.9,0.047,54,162,0.9968,3.28,0.5,10.2,6,"white"
7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5,"red"
5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,7,"white"
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,"red"
9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6,"red"
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5,"white"
6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7,"white"
7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6,"white"
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6,"white"
6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5,"white"
8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6,"white"
6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,6,"white"
6.1,0.34,0.29,2.2,0.036,25,100,0.98938,3.06,0.44,11.8,6,"white"
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,"white"
7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,6,"white"
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5,"white"
7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6,"white"
6.7,0.33,0.36,6.6,0.042,34,116,0.99123,2.97,0.31,12.2,8,"white"
5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,7,"white"
7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2,6,"white"
7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8,"white"
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,"red"
6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2,6,"white"
8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5,"red"
6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,6,"white"
7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6,"white"
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,"white"
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6,"white"
7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5,"white"
9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6,"white"
9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6,"red"
8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,7,"red"
6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6,"white"
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6,"red"
5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,7,"white"
6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,5,"white"
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4,"red"
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,"white"
7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7,"white"
5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8,7,"white"
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5,"white"
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,"white"
6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6,"white"
7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5,"white"
6,0.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,6,"white"
6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,5,"white"
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5,"red"
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,"red"
6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7,"white"
9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6,"red"
9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,7,"red"
6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7,"red"
6.4,0.28,0.22,12.8,0.039,51,150,0.99535,3.23,0.43,10.7,6,"white"
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,"white"
6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,5,"white"
6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7,"white"
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,"white"
7.7,0.26,0.51,2.6,0.045,26,159,0.99126,3,0.5,11.2,6,"white"
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6,"white"
6.8,0.45,0.3,11.8,0.094,23,97,0.997,3.09,0.44,9.6,5,"white"
6.4,0.28,0.45,8.6,0.057,47,223,0.99654,3.16,0.51,9.1,5,"white"
8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,4,"white"
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,"white"
5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7,"white"
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,5,"white"
6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6,"white"
6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,7,"white"
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5,"white"
7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6,"white"
7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5,"red"
8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7,"red"
5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5,"white"
8,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6,6,"white"
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8,"red"
7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,6,"white"
6.4,0.62,0.12,4.7,0.06,33,196,0.99556,3.22,0.48,8.9,5,"white"
6.7,0.36,0.26,7.9,0.034,39,123,0.99119,2.99,0.3,12.2,7,"white"
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,"red"
8,0.23,0.35,9.2,0.044,53,186,0.997,3.09,0.56,9.5,7,"white"
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5,"white"
5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2,5,"white"
5.6,0.22,0.32,1.2,0.024,29,97,0.98823,3.2,0.46,13.05,7,"white"
7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,5,"red"
9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,7,"white"
6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,"white"
6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6,"white"
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,"red"
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,"red"
6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5,"white"
7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,6,"white"
6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,6,"white"
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,"red"
10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7,"red"
6.3,0.15,0.3,1.4,0.022,38,100,0.99099,3.42,0.57,11.4,7,"white"
7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,5,"white"
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7,"white"
6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,5,"white"
6.1,0.32,0.28,6.6,0.021,29,132,0.99188,3.15,0.36,11.45,7,"white"
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6,"red"
6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4,"white"
5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4,"white"
6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6,"red"
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,"red"
6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4,"white"
7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5,"red"
6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6,"white"
7,0.24,0.26,1.7,0.041,31,110,0.99142,3.2,0.53,11,6,"white"
6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5,"white"
7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5,"red"
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.55,6,"white"
6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3,"red"
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6,"white"
8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7,"white"
8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,7,"white"
6.7,0.24,0.41,2.9,0.039,48,122,0.99052,3.25,0.43,12,5,"white"
6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6,"white"
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,6,"red"
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6,"red"
8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5,"red"
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,"white"
7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,6,"white"
7.4,0.19,0.3,12.8,0.053,48.5,212,0.9986,3.14,0.49,9.1,7,"white"
9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,6,"white"
8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3,6,"white"
8.1,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2,7,"white"
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,"red"
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,"red"
6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5,"white"
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,"red"
8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,5,"white"
7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7,"white"
6.7,0.26,0.49,8.1,0.052,48,197,0.99558,3.19,0.48,9.5,5,"white"
6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7,"white"
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5,"white"
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6,"white"
6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5,"white"
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6,"white"
8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,4,"white"
6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,6,"red"
7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,6,"white"
9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,5,"white"
8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,5,"red"
8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7,"red"
7.4,0.29,0.25,3.8,0.044,30,114,0.992,3.11,0.4,11,6,"white"
7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5,"white"
6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.63333333333333,5,"white"
5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,5,"white"
6.5,0.34,0.36,11,0.052,53,247,0.9984,3.44,0.55,9.3,6,"white"
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6,"white"
6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2,4,"white"
7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,5,"white"
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4,"white"
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,"white"
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,"red"
6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,5,"white"
6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6,"white"
6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6,"white"
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8,"white"
7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5,"white"
5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6,"white"
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,"red"
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6,"red"
10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,7,"red"
9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,4,"white"
5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6,"white"
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4,"white"
6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6,"white"
7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7,7,"white"
9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6,"red"
9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,7,"red"
6.2,0.28,0.41,5,0.043,50,188,0.99318,3.23,0.64,10.8,6,"white"
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,"white"
7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12,5,"white"
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6,"white"
6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6,"white"
8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,6,"red"
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,"white"
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6,"white"
6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4,"white"
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6,"white"
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,"red"
6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,7,"white"
6.3,0.26,0.29,2.2,0.043,35,175,0.9918,3.38,0.43,11.6,6,"white"
6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5,"white"
7,0.14,0.41,0.9,0.037,22,95,0.9914,3.25,0.43,10.9,6,"white"
6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6,"white"
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6,"white"
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,"white"
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,"white"
6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5,"white"
6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7,"white"
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,"white"
5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6,"white"
7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5,"red"
6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,6,"white"
5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6,"white"
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6,"red"
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5,"white"
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6,"white"
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,"white"
8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5,"white"
6.5,0.43,0.18,13.15,0.032,25,131,0.99565,3.23,0.51,10.7,5,"white"
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5,"white"
5.8,0.3,0.12,1.6,0.036,57,163,0.99239,3.38,0.59,10.5,6,"white"
6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,6,"white"
7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9,5,"white"
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7,"red"
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,"white"
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,"white"
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,"red"
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5,"white"
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6,"red"
6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5,"white"
6.5,0.3,0.28,11.45,0.041,29,109,0.99418,2.98,0.3,10.9,6,"white"
6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6,"white"
11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5,"red"
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6,"white"
7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6,6,"white"
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,"red"
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,"red"
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,"red"
6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8,5,"white"
7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,6,"white"
7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6,"red"
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,"white"
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5,"white"
7.6,0.24,0.44,3.8,0.037,49,146,0.9911,3.06,0.37,11.6,6,"white"
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,"white"
9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5,"red"
7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,5,"white"
7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6,"white"
5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,5,"white"
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6,"red"
6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,6,"white"
7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,6,"white"
6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,6,"white"
